iter	Passed	Remaining
423	1942	8009
424	1947	8005
425	1951	7997
426	1955	7989
427	1958	7981
428	1962	7973
429	1966	7968
430	1970	7960
431	1974	7952
432	1978	7946
433	1982	7939
434	1986	7930
435	1989	7922
436	1993	7916
437	1998	7910
438	2001	7903
439	2005	7895
440	2009	7889
441	2014	7885
442	2018	7879
443	2022	7872
444	2026	7866
445	2030	7859
446	2034	7851
447	2038	7843
448	2041	7835
449	2046	7832
450	2050	7824
451	2053	7815
452	2057	7808
453	2063	7809
454	2067	7803
455	2071	7796
456	2076	7790
457	2079	7783
458	2083	7775
459	2087	7769
460	2092	7765
461	2096	7758
462	2099	7751
463	2103	7743
464	2107	7736
465	2112	7732
466	2115	7724
467	2119	7716
468	2123	7709
469	2128	7707
470	2131	7699
471	2135	7692
472	2139	7686
473	2143	7679
474	2147	7671
475	2151	7664
476	2154	7657
477	2159	7652
478	2163	7645
479	2167	7639
480	2170	7631
481	2175	7627
482	2178	7619
483	2182	7611
484	2186	7604
485	2191	7601
486	2194	7593
487	2198	7586
488	2202	7579
489	2206	7574
490	2210	7567
491	2213	7559
492	2217	7552
493	2221	7546
494	2225	7540
495	2229	7533
496	2233	7525
497	2236	7519
498	2240	7512
499	2244	7505
500	2247	7497
501	2251	7491
502	2256	7486
503	2259	7479
504	2263	7471
505	2267	7466
506	2272	7463
507	2276	7457
508	2280	7451
509	2284	7445
510	2289	7440
511	2292	7434
512	2296	7426
513	2300	7419
514	2304	7414
515	2307	7406
516	2311	7399
517	2315	7392
518	2319	7387
519	2323	7381
520	2327	7374
521	2330	7366
522	2334	7360
523	2338	7354
524	2342	7347
525	2345	7340
526	2349	7335
527	2354	7329
528	2357	7323
529	2361	7315
530	2365	7310
531	2369	7305
532	2373	7299
533	2377	7292
534	2381	7286
535	2385	7281
536	2389	7275
537	2393	7268
538	2396	7261
539	2401	7257
540	2404	7250
541	2408	7243
542	2412	7237
543	2417	7234
544	2422	7230
545	2425	7224
546	2429	7217
547	2434	7214
548	2438	7207
549	2441	7201
550	2446	7196
551	2451	7193
552	2454	7186
553	2458	7180
554	2462	7174
555	2466	7169
556	2470	7162
557	2474	7156
558	2478	7151
559	2483	7148
560	2486	7141
561	2490	7134
562	2493	7127
563	2498	7122
564	2501	7116
565	2505	7109
566	2509	7102
567	2513	7096
568	2517	7091
569	2520	7084
570	2524	7077
571	2528	7073
572	2533	7068
573	2536	7062
574	2540	7055
575	2544	7049
576	2549	7047
577	2553	7040
578	2556	7034
579	2560	7028
580	2564	7023
581	2568	7016
582	2571	7009
583	2576	7004
584	2581	7001
585	2584	6996
586	2589	6990
587	2593	6985
588	2597	6981
589	2601	6974
590	2604	6968
591	2608	6961
592	2613	6958
593	2617	6952
594	2620	6945
595	2624	6939
596	2629	6936
597	2633	6931
598	2637	6925
599	2641	6921
600	2645	6915
601	2649	6909
602	2654	6906
603	2658	6902
604	2662	6897
605	2668	6897
606	2675	6898
607	2680	6895
608	2685	6891
609	2690	6890
610	2695	6886
611	2701	6885
612	2707	6886
613	2711	6880
614	2716	6878
615	2722	6876
616	2727	6873
617	2731	6869
618	2735	6864
619	2750	6883
620	2760	6894
621	2771	6906
622	2780	6913
623	2790	6922
624	2800	6931
625	2811	6944
626	2820	6950
627	2825	6946
628	2829	6940
629	2833	6935
630	2847	6953
631	2853	6952
632	2857	6947
633	2861	6942
634	2865	6935
635	2869	6930
636	2873	6924
637	2877	6918
638	2881	6913
639	2886	6910
640	2890	6903
641	2894	6897
642	2898	6891
643	2902	6885
644	2905	6879
645	2909	6873
646	2913	6867
647	2919	6865
648	2922	6859
649	2926	6852
650	2930	6846
651	2934	6841
652	2938	6835
653	2942	6829
654	2946	6824
655	2951	6820
656	2955	6815
657	2959	6809
658	2964	6805
659	2968	6800
660	2972	6795
661	2976	6789
662	2980	6784
663	2985	6779
664	2989	6773
665	2992	6767
666	2996	6761
667	3000	6755
668	3004	6749
669	3007	6743
670	3011	6736
671	3015	6731
672	3019	6725
673	3022	6718
674	3026	6712
675	3031	6709
676	3036	6705
677	3041	6701
678	3047	6701
679	3052	6697
680	3056	6692
681	3061	6688
682	3066	6684
683	3070	6680
684	3075	6676
685	3080	6672
686	3084	6667
687	3088	6662
688	3092	6656
689	3099	6657
690	3103	6651
691	3107	6645
692	3112	6641
693	3116	6636
694	3120	6630
695	3124	6625
696	3128	6620
697	3132	6615
698	3136	6609
699	3140	6603
700	3144	6598
701	3148	6592
702	3152	6587
703	3156	6582
704	3161	6579
705	3166	6575
706	3170	6569
707	3174	6563
708	3178	6557
709	3181	6551
710	3185	6545
711	3190	6542
712	3195	6538
713	3199	6532
714	3203	6528
715	3209	6527
716	3214	6523
717	3218	6518
718	3224	6515
719	3227	6509
720	3231	6503
721	3235	6497
722	3240	6493
723	3243	6487
724	3247	6481
725	3251	6475
726	3254	6469
727	3258	6463
728	3262	6457
729	3266	6451
730	3270	6446
731	3275	6443
732	3280	6439
733	3284	6434
734	3289	6431
735	3294	6426
736	3298	6421
737	3303	6418
738	3309	6416
739	3313	6413
740	3318	6408
741	3323	6405
742	3327	6400
743	3331	6394
744	3336	6390
745	3341	6386
746	3345	6381
747	3349	6376
748	3354	6372
749	3358	6367
750	3362	6361
751	3368	6360
752	3372	6355
753	3376	6349
754	3380	6344
755	3385	6340
756	3389	6335
757	3393	6330
758	3397	6324
759	3401	6320
760	3405	6314
761	3409	6308
762	3412	6302
763	3417	6297
764	3420	6291
765	3424	6285
766	3428	6280
767	3432	6275
768	3436	6270
769	3440	6264
770	3444	6258
771	3447	6252
772	3452	6249
773	3456	6243
774	3460	6237
775	3465	6233
776	3469	6228
777	3473	6223
778	3477	6217
779	3480	6212
780	3485	6208
781	3489	6203
782	3493	6197
783	3498	6192
784	3502	6188
785	3505	6182
786	3509	6176
787	3513	6170
788	3517	6165
789	3520	6159
790	3524	6153
791	3528	6148
792	3532	6143
793	3536	6137
794	3540	6131
795	3543	6125
796	3548	6121
797	3552	6116
798	3555	6110
799	3559	6104
800	3564	6101
801	3569	6097
802	3573	6092
803	3577	6086
804	3582	6082
805	3586	6077
806	3590	6073
807	3594	6068
808	3598	6063
809	3602	6057
810	3605	6051
811	3609	6045
812	3613	6041
813	3617	6035
814	3621	6030
815	3625	6024
816	3629	6020
817	3633	6015
818	3638	6010
819	3642	6005
820	3646	6000
821	3650	5995
822	3654	5990
823	3658	5985
824	3662	5980
825	3666	5974
826	3670	5969
827	3674	5964
828	3679	5960
829	3683	5955
830	3687	5950
831	3692	5946
832	3696	5941
833	3699	5935
834	3703	5929
835	3707	5924
836	3711	5919
837	3715	5914
838	3719	5909
839	3723	5904
840	3728	5900
841	3732	5895
842	3735	5889
843	3739	5883
844	3744	5880
845	3748	5875
846	3752	5870
847	3758	5868
848	3762	5863
849	3766	5858
850	3771	5855
851	3778	5853
852	3782	5849
853	3788	5847
854	3795	5846
855	3799	5841
856	3804	5837
857	3824	5857
858	3829	5853
859	3836	5852
860	3842	5851
861	3847	5847
862	3853	5844
863	3857	5839
864	3861	5834
865	3865	5829
866	3869	5824
867	3874	5820
868	3877	5814
869	3881	5809
870	3885	5804
871	3889	5799
872	3893	5793
873	3898	5789
874	3902	5785
875	3906	5779
876	3910	5774
877	3914	5769
878	3918	5763
879	3922	5758
880	3926	5753
881	3930	5747
882	3934	5743
883	3938	5738
884	3942	5733
885	3946	5728
886	3950	5722
887	3953	5717
888	3957	5711
889	3961	5705
890	3965	5701
891	3969	5695
892	3972	5689
893	3976	5684
894	3980	5679
895	3984	5674
896	4004	5692
897	4014	5694
898	4021	5694
899	4028	5694
900	4036	5693
901	4042	5692
902	4049	5690
903	4055	5688
904	4062	5687
905	4069	5685
906	4075	5683
907	4080	5680
908	4085	5676
909	4091	5673
910	4095	5669
911	4100	5664
912	4104	5660
913	4109	5655
914	4113	5651
915	4117	5645
916	4121	5640
917	4125	5635
918	4129	5630
919	4132	5624
920	4136	5619
921	4141	5614
922	4144	5608
923	4148	5602
924	4152	5597
925	4156	5593
926	4160	5587
927	4163	5581
928	4167	5576
929	4171	5571
930	4175	5566
931	4180	5561
932	4185	5558
933	4190	5554
934	4195	5550
935	4200	5546
936	4204	5542
937	4209	5538
938	4214	5534
939	4218	5529
940	4223	5525
941	4227	5520
942	4231	5515
943	4236	5510
944	4240	5506
945	4244	5501
946	4248	5495
947	4252	5490
948	4256	5485
949	4260	5480
950	4264	5475
951	4268	5470
952	4272	5465
953	4276	5459
954	4281	5455
955	4285	5451
956	4290	5446
957	4294	5441
958	4297	5436
959	4302	5431
960	4306	5426
961	4310	5421
962	4314	5416
963	4319	5412
964	4323	5407
965	4327	5402
966	4331	5397
967	4335	5392
968	4339	5387
969	4342	5381
970	4346	5376
971	4351	5372
972	4355	5366
973	4358	5361
974	4362	5355
975	4366	5350
976	4370	5345
977	4373	5339
978	4377	5334
979	4381	5328
980	4385	5324
981	4389	5318
982	4392	5313
983	4396	5308
984	4401	5303
985	4404	5298
986	4408	5292
987	4412	5287
988	4417	5283
989	4421	5278
990	4426	5274
991	4429	5269
992	4434	5264
993	4437	5259
